排名,城市,AQI,空气质量等级
1,和田地区,89,良
2,阿克苏地区,75,良
3,中卫,64,良
4,塔城地区,63,良
5,武威,61,良
6,巴音郭楞州,61,良
7,兰州新区,57,良
8,乌鲁木齐,56,良
9,张掖,55,良
10,酒泉,54,良
11,海南藏族自治州,53,良
12,德阳,50,优
13,温州,50,优
14,金昌,50,优
15,徐州,50,优
16,汉中,50,优
17,石嘴山,49,优
18,延边朝鲜族自治州,49,优
19,嘉峪关,49,优
20,乐山,49,优
